,coef,std_err,t_stat,p_value,ci_lower,ci_upper
const,-1.312981622099882,0.022284896472399444,-58.91800411664697,0.0,-1.356659529064319,-1.269303715135445
temp_mean,0.031016345920788425,0.0003199069336200363,96.95427845158095,0.0,0.030389335366746133,0.031643356474830714
prec_total,0.0006055899249775234,2.9599721674047008e-05,20.45931146401636,6.435396405836179e-93,0.0005475751214960042,0.0006636047284590426
ndvi_mean,0.2707226016955056,0.014002583235610383,19.33376128820452,3.4361876957089706e-83,0.24327784651864104,0.29816735687237017
oni_anom,-0.014855664774108795,0.0019894944166009595,-7.467055273012336,8.240032061744615e-14,-0.018755030074826626,-0.010956299473390965
log_poblacion,0.03850292436121595,0.002244690597833818,17.15288708313396,6.801598346518025e-66,0.03410338015792284,0.04290246856450906
log_flujo,0.7677904591529546,0.0035540193692461925,216.0344048197472,0.0,0.7608246593543331,0.7747562589515762
