,count,mean,std,min,25%,50%,75%,max,skewness,% ceros
casos_totales,289520.0,4.22147001934236,24.33548815111938,0.0,0.0,0.0,2.0,1426.0,21.817551314425046,57.80740536059685
log1p_casos,289520.0,0.6525241230314869,1.0009545501407102,0.0,0.0,0.0,1.0986122886681098,7.2633296174768365,1.9167457034929778,57.80740536059685
tasa_100k,289520.0,6.2919188457407875,17.3513068881004,0.0,0.0,0.0,5.759705103098721,1268.9723811893505,8.874971268682243,57.80740536059685
caso_binario,289520.0,0.4219259463940315,0.4938676792427636,0.0,0.0,0.0,1.0,1.0,0.316176159022371,57.80740536059685
temp_mean,289520.0,23.1960132505169,3.0232168489225555,9.8,22.233412723895444,22.451183307649604,24.285714285714285,34.06666666666667,-0.18898288248694217,0.0
prec_total,289520.0,43.13769711936998,52.14801046946978,0.0,4.8,26.0,62.9,1053.0,2.2876163637132647,17.34422492401216
ndvi_mean,289520.0,0.6355139486970612,0.11371371793778315,0.0910267217342795,0.5697027132833798,0.6544505806736156,0.7193566917758761,0.8772319934568651,-0.8061600449973264,0.0
oni_anom,289520.0,0.03392207792207794,0.8948759510055316,-1.64,-0.6,-0.15,0.53,2.75,0.8686558781796447,0.5194805194805194
Flujo_in,289520.0,3.5739441441846695,21.08489248485285,0.005294197,0.275649005,0.6669361650000001,1.753640925,1337.5596,24.86122035558459,0.0
log1p_flujo,289520.0,0.786436554622271,0.8184724186943553,0.0052802320063300625,0.2434550726312701,0.5109873096939124,1.0129240086777764,7.199349389425197,2.275298186893059,0.0
poblacion,289520.0,85757.93085106384,410379.24433960393,3179.0,12156.25,22490.0,43434.75,7149540.0,14.305547781040046,0.0
log_poblacion,289520.0,10.189359341528014,1.1605967679085953,8.064636475774222,9.405680200853217,10.020869676888303,10.679002023755858,15.782558716805356,1.2320620592429752,0.0
casos_lag1,289520.0,4.223269549599337,24.358440306040144,0.0,0.0,0.0,2.0,1426.0,21.784386888155584,57.82329372754905
casos_lag4,289520.0,4.230339872893064,24.47189897309266,0.0,0.0,0.0,2.0,1426.0,21.680908148748827,57.85990605139541
casos_roll4,289520.0,4.227113843603205,24.16941837777492,0.0,0.0,0.5,1.75,1391.75,21.70097031863076,36.57329372754904
casos_roll12,289520.0,4.233556979368149,23.73604502853158,0.0,0.08333333333333333,0.4166666666666667,1.8333333333333333,1292.5833333333333,21.082393432424897,21.225476651008567
prec_acum4,289520.0,172.43545292207793,158.2965875575816,0.0,59.800000000000075,134.0,239.5,2561.0,1.9690712514479498,4.059477756286267
oni_lag12,289520.0,0.05724675324675327,0.9056209352682044,-1.64,-0.6,-0.13,0.57,2.75,0.7992071943772573,0.5194805194805194
