Variable,Mediana,MAD,MAD_scaled,N_outliers_MAD,Pct_outliers_MAD
casos_totales,0.0,0.0,0.0,0,0.0
temp_mean,22.46327749776297,0.2799488244407584,0.4150521271158684,100600,34.21396310605648
prec_total,25.7,24.900000000000002,36.916740000000004,12201,4.149548348479077
ndvi_mean,0.6537537929778939,0.0727571588338577,0.10786976368707742,1552,0.527833705174947
Flujo_in,0.674572175,0.48937736,0.7255508739359999,44774,15.227594275453013
poblacion,22490.0,12358.0,18321.9708,41446,14.095744680851062
