Variable,P1,P99,Max,Ratio_Max/P99
casos_totales,0.0,32.0,1426.0,44.5625
tasa_100k,0.0,59.701492537313435,1268.9723811893505,21.25528738492162
temp_mean,8.514285714285714,30.81904761904763,34.388888888888886,1.1158323032550468
prec_total,0.0,253.9,1053.0,4.147302087435999
Flujo_in,0.0109431942,24.815982580000075,1337.5596,53.89911907328539
