Variable,Q1,Q3,IQR,Límite_inferior,Límite_superior,N_outliers,Pct_outliers
casos_totales,0.0,0.0,0.0,0.0,0.0,182079,22.388230375762344
temp_mean,18.085714285714285,27.13214285714286,9.046428571428574,4.516071428571424,40.70178571428572,151,0.08403922572602099
prec_total,5.0,62.0,57.0,-80.5,147.5,28046,5.2715072458320025
ndvi_mean,0.5501694590848364,0.7174093880964786,0.1672399290116422,0.2993095655673731,0.9682692816139419,11558,1.4225265785269625
Flujo_in,0.1431802825,0.9310170225000001,0.78783674,-1.0385748275000002,2.1127721325,96423,11.86747536609321
poblacion,6679.25,25478.0,18798.75,-21518.875,53676.125,86802,10.673076923076923
